code	name	koord						datum							ubre	ubli	uverre	vertypre	uverli	vertypli	ugefaere	ugefaeli	baumre	buschre	wiesere	waldre	pflre	erdere		wurzelre	bewverre		baumli	buschli	wieseli	waldli	pflli	erdeli		wurzelli		bewverli	tiefe	sicht	bgefaell	wstand	schatten	bbreite	bvar	ssteinkl	ssteinmi	ssteingr	sschlamm	swurzeln	ssand	swpfl	spflrest	sver	durchg		verstdic	vtbw	vtsteimi	vtsteikl	vtueberu	vtwurz	vtwpfl	vtpflmat	wtemp	ph	leitf	o2gehalt	o2saett	v	ephemero															szeit	sdauer	sstrecke	sucher	art	anzm	anzw	anzunbes	bem	exuvtot	anztotal
50BE	Twannbach	578 350 / 215 700			morgens etwas Nebel, warm, Sonne	morgens etwas Nebel, warm, Sonne	klar	30.9.1997							0.5	0.5	100	BW-Mauer	100	BW-Mauer	5	5	0	10	60	0	0	0		0	30		0	50	5	0	0	0		0	0	45	0.8	2	1	3	0	8	2	10	20	5	0	0	20	10	5	0	5		4	100	0		0	0	0	0	18.2	8.4	289	8.5	94	0.03	15.10.						*	*			x		x			20.5	10	13	2	OL	1	0	2	viele Boote, oben Zuglinie, sonst ruhig		2
51BSa	Ruisseau de Vaux	573 300 / 212 150			10% W., warm, windig->Wetterumschwung	warm, sonnig	Wolken, windig	2.10.1997							1	BS	100	BW-Mauer	BS	BS	3	BS	0	0	0	0	0	0		0	100		BS	BS	BS	BS	BS	BS		BS	BS	BS	0.5	3	1	3	0	BS	3	0	0	90	0	0	0	0	10	0	5		5	100	0		0	0	0	0	19.2	8.5	282	10.4	120	st	k												x			21.15	7	5	1	OL	0	0	6	Quaimauer neben kl. Bootshafen, daneben Pumpwerk		6
51BSb	Ruisseau de Vaux	574 300 / 212 150			10% W., warm, windig->Wetterumschwung	warm, sonnig	Wolken, windig	2.10.1997							0	BS	100	Mauer	BS	BS	5	BS	0	0	0	0	0	0		0	100		BS	BS	BS	BS	BS	BS		BS	BS	BS	0.1	3	1	3	50	BS	1	0	80	0	20	0	0	0	0	0	BS		2.5	0	100		0	0	0	0	19.2	8.5	282	10.4	120	st	k												x			21.15	7	5	1	OL	0	0	3	Quaimauer neben kl. Bootshafen, daneben Pumpwerk		3
51BE	Ruisseau de Vaux	573 300 / 212 200			10% W., warm, windig->Wetterumschwung	warm, sonnig	Wolken, windig	2.10.1997							0	0	100	Mauer	100	Pneus und Mauer	5	5	0	0	0	0	0	0		0	100		5	0	30	0	0	0		5	0	60	0.5	3	1	2	5	4	1	10	40	10	20	0	0	50	10	0	5		4	0	20		30	0	0	50	17.5	8.8	358	10.5	119	0	1.11.						***		weisser, glänzender Wurm 1.5 cm					Wasserpest		21	10	15	2	OL	0	0	1	"O2-Wert evtl. von viel Wasserbewegung beeinflusst; Schiffanlege-Kanal , weiter oben 5 40cm Stufen in 2m-Abst."		1
52BE	R. des Aiguedeurs	572150 / 211 550			10% W., warm, windig->Wetterumschwung	warm, sonnig	Wolken, windig	2.10.1997							0	0	100	Mauer	100	Mauer	5	5	0	0	0	0	0	0		0	0		0	0	0	0	0	0		0	0	0	0.4	1	1	3	0	5	1	0	0	0	100	0	0	0	35	0	3		1	0	0		40	0	0	60	17.7	8.2	475	85.7	108	0	15.10.								40 cm Fisch						x	20.2	10	15	2	OL	0	0	1	"25-30m langes Becken; Hindernis = verstellbares Gitter ( war bei uns oben)"		1
53BS	Zihlkanal	572 350 / 211 300			sonnig, windig, warm	z.T.W., sonnig, warm	trocken, warm	3.10.1997							BS	1	BS	BS	100	BW	BS	4	BS	BS	BS	BS	BS	BS		BS	BS		0	0	0	0	5	0		0	0	100	0.5	2	1	2	0	BS	1	0	0	95	0	0	5	5	0	0	BS		4	100	0		0	0	0	0	17.4	8.3	298	8.7	95	st	k								Jungfische*		x					23.1	7	90	1	OL	0	0	6	"nur 1 m Uferstreifen absuchbar; Uferpromenade, Schiffstege (kl. Hafen)"		6
53BEl	Zihlkanal	572 450 / 211 200			sonnig, windig, warm	z.T.W., sonnig, warm	trocken, warm	3.10.1997							kS	1.5	kS	kS	100	BW	kS	4	kS	kS	kS	kS	kS	kS	kS	kS	kS		0	0	5	0	20	0		0	0	75	1	3	1	2	0	65	1	0	0	100	0	0	0	40	0	0	5		4.5	100	0		0	0	0	0	18	8.4	302	9.2	100	0	k								Jungfische *		x					22.5	10	20	1	OL	0	0	41	Fliessrichtung normal BS, bei uns NS, langsam		41
53A	Zihlkanal	572 250 / 211 050			sonnig, windig, warm	z.T.W., sonnig, warm	trocken, warm	3.10.1997							kS	1.25	kS	kS	100	BW	kS	3	kS	kS	kS	kS	kS	kS	kS	kS	kS		0	10	0	0	0	0		0	0	90	0.5	3	1	2	0	60	3	0	10	85	0	0	0	20	5	0	5		5	100	0		0	0	0	0	18	8.3	300	8.3	92	0	15.10.	k							Jungfische * Wasserläufer		x					22.4	5	10	2	OL	0	0	26	"Fliessrichtung normal BS, bei uns NS, langsam; Schiffhaltestelle"		26
55BS	Ruelbach	575 000 / 209 700			sonnig, windig, warm	z.T.W., sonnig, warm	trocken, warm	3.10.1997							BS	2	BS	BS	100	BW	BS	BS	BS	BS	BS	BS	BS	BS		BS	BS		0	0	5	0	0	0		0	0	95	0.3	2	1	2	0	BS	2	0	0	60	0	0	40	5	10	0	BS		4	100	0		0	0	0	0	18.1	8.4	301	9.3	104	st.	k										x					20.2	8	15	2	OL	1	1	1	"abends s. schlechte Sicht; Paar gefunden; öff. Badestrand"		3
55BE	Ruelbach	574 950 / 209 700			sonnig, windig, warm	z.T.W., sonnig, warm	trocken, warm	3.10.1997							2	0.5	60	Holzstämme	50	Holzzaun	3	4	10	30	10	0	0	0		0	50		35	45	10	0	0	5		0	0	5	0.3	2	1	3	95	3.5	3	0	0	0	95	0	0	5	10	0	2		2	0	0		0	0	0	100	13.5	8	678	7.5	75	0	15.10. ->k								Jungfische ***, Ratte		x			Wasserpest		20.3	11	20	2	OL	0	0	1	stinkender Bach mit 30cm Faulschlamm, schlecht zugänglich		1
																																																																																																				   
